word	frequency
steel	6004
worn	6001
double	5987
dancing	5961
danny	5953
pattern	5949
members	5927
process	5916
loss	5913
approached	5907
cloud	5901
steady	5899
lock	5895
comfortable	5885
powerful	5884
copy	5878
refused	5874
evidence	5868
anne	5865
fill	5861
merely	5861
confused	5861
firm	5843
previous	5834
london	5832
attend	5832
willing	5825
necessary	5819
article	5811
science	5809
condition	5800
vehicle	5800
avoid	5797
saturday	5791
battle	5787
folks	5781
closet	5769
risk	5763
staff	5761
recently	5754
tape	5752
evil	5745
series	5742
saved	5741
knocked	5737
degree	5734
luke	5724
honor	5723
prepared	5720
concerned	5718
highway	5713
marry	5712
pressure	5710
plain	5703
official	5701
charles	5697
sold	5696
feeling	5695
surrounded	5687
jump	5685
eddie	5685
dan	5681
nowhere	5679
broad	5671
chicken	5670
smaller	5668
hunt	5667
desert	5664
trail	5660
insisted	5659
huh	5658
daniel	5646
prove	5636
bench	5636
served	5635
absolutely	5625
jacob	5624
victim	5621
susan	5620
emotion	5607
valley	5605
received	5604
mass	5603
adult	5603
fault	5601
possibility	5590
drawing	5590
flash	5587
won	5586
recognize	5579
blind	5579
decide	5567
brian	5563
alien	5550
ill	5548
-ments	5544
blew	5540
garage	5537
community	5526
button	5516
ought	5514
tim	5493
opportunity	5486
faith	5472
flew	5471
kicked	5468
audience	5467
artist	5459
knee	5458
build	5455
tower	5454
reality	5452
signal	5452
cream	5447
address	5440
tommy	5433
length	5431
according	5423
hi	5423
match	5423
strike	5415
hurry	5405
ticket	5400
fixed	5399
fully	5397
lift	5397
karen	5395
lesson	5394
bone	5390
draw	5379
losing	5377
direct	5376
thomas	5375
legal	5369
birth	5363
prince	5356
county	5353
rear	5348
weekend	5346
ourselves	5343
lawn	5343
video	5339
lee	5320
supply	5319
emily	5314
climb	5311
fan	5309
dining	5309
childhood	5299
priest	5279
director	5275
eric	5268
warning	5265
buck	5265
ghost	5264
slip	5255
caused	5246
design	5229
gentle	5218
manage	5205
habit	5204
grade	5202
curious	5200
danger	5192
military	5191
crack	5187
larger	5185
he'll	5175
tony	5169
upper	5168
pot	5158
hero	5156
demand	5150
property	5146
uniform	5144
forgot	5139
hiding	5132
thrown	5124
model	5120
ugly	5114
bobby	5110
neighbor	5110
awful	5102
facing	5099
data	5096
riding	5087
killing	5086
easier	5083
funeral	5078
sake	5073
breathe	5073
buddy	5072
farther	5072
weak	5068
abandoned	5063
san	5061
sword	5056
correct	5055
upset	5043
solid	5042
neighbors	5040
california	5037
chapter	5022
respect	5020
style	5017
smith	5004
hasn't	5004
excited	5002
material	4999
post	4998
purple	4986
andrew	4970
weird	4969
spoken	4967
soldier	4962
settle	4961
chinese	4960
don	4959
enormous	4958
grab	4957
cash	4954
wolf	4951
fought	4946
unit	4941
clay	4940
society	4932
universe	4924
connection	4915
telephone	4915
detective	4909
definitely	4908
chain	4902
fred	4897
johnny	4896
shore	4895
horizon	4894
mood	4891
ignored	4883
bruce	4875
uh	4870
example	4864
suggest	4863
lab	4856
elizabeth	4856
central	4853
edward	4850
mask	4842
maria	4841
pen	4840
wash	4836
becoming	4831
eggs	4825
rules	4823
bite	4821
closing	4820
due	4815
shift	4802
perform	4801
pete	4801
furniture	4793
washington	4790
temple	4787
manager	4767
task	4762
safety	4759
knock	4747
port	4743
opinion	4742
lack	4739
roger	4735
plus	4732
health	4730
panic	4730
stream	4724
emergency	4722
fourth	4720
slight	4718
novel	4709
laura	4709
image	4708
period	4707
totally	4707
similar	4706
seek	4705
ann	4700
paris	4697
inches	4696
sale	4695
german	4692
it'll	4692
occurred	4689
over-	4685
determined	4682
equipment	4680
events	4675
affair	4672
features	4666
quit	4660
branches	4660
friday	4659
guests	4657
arthur	4652
reply	4649
version	4646
event	4640
pure	4639
grave	4637
pop	4622
pregnant	4619
announced	4615
demanded	4615
patrick	4606
shame	4601
march	4596
fruit	4596
speech	4593
generation	4593
ability	4581
bunch	4581
invited	4581
brush	4576
afford	4575
sheriff	4569
waste	4562
fix	4562
desperate	4561
holy	4558
blame	4554
tough	4552
professional	4541
print	4537
member	4523
pride	4522
bow	4518
journey	4508
margaret	4507
united	4504
smoking	4499
split	4498
choose	4488
candy	4488
pilot	4479
expensive	4477
amount	4475
role	4469
recent	4463
muscles	4454
background	4450
concrete	4450
required	4442
argument	4415
self	4408
chosen	4407
coast	4398
witness	4388
colonel	4380
sergeant	4380
vast	4374
comment	4371
sugar	4369
chose	4357
fired	4356
larry	4347
link	4346
threat	4341
political	4338
mail	4338
fiction	4335
theory	4333
cake	4329
assistant	4324
bound	4322
lean	4315
wire	4311
avenue	4306
target	4302
balance	4292
clothing	4291
youth	4289
england	4283
authority	4278
created	4276
operation	4272
midnight	4271
june	4268
thus	4267
standard	4266
guest	4264
jason	4264
chris	4258
daily	4253
junior	4243
ain't	4240
